WXSC_Name,NedName,ClusterID,ra,dec,z_cmb,TTye,AxRatio,logW,logW_err,L_dist,ftot_W1,ftot_W1_err,magW1,magW1_err,MW1,MW1_err,MW1_debiased,MW1_debiased_err,bias_W1,MW1_final,MW1_final_err,ftot_W2,ftot_W2_err,magW2,magW2_err,MW2,MW2_err,MW2_debiased,MW2_debiased_err,bias_W2,MW2_final,MW2_final_err
2MASXJ19314033-6719223,IC4862,PavoII,292.9182,-67.3229,0.0158,Sb,0.5110,2.5590,0.0150,68.6500,22.0400,0.2450,10.4520,0.0122,-23.7312,0.0122,-23.7053,0.0125,-0.0259,-23.8261,0.0174,13.0540,0.1700,10.3914,0.0143,-23.7918,0.0143,-23.7537,0.0148,-0.0381,-23.9148,0.0219
2MASXJ19403884-6002535,ESO142-G030,PavoII,295.1619,-60.0480,0.0135,Sc,0.3110,2.6020,0.0200,58.5800,39.7530,0.4210,9.7725,0.0117,-24.0663,0.0117,-24.0503,0.0118,-0.0159,-24.0503,0.0118,25.8130,0.3100,9.6040,0.0132,-24.2347,0.0132,-24.2103,0.0134,-0.0245,-24.2103,0.0134
2MASXJ19435203-6039062,IC4885,PavoII,295.9668,-60.6517,0.0081,Sc,0.3310,2.4500,0.0120,35.1200,15.6250,0.1780,10.7677,0.0125,-21.9601,0.0125,-21.8628,0.0159,-0.0973,-21.8628,0.0159,8.9850,0.1160,10.7310,0.0142,-21.9968,0.0142,-21.8906,0.0177,-0.1061,-21.8906,0.0177
2MASXJ19493156-7013387,IC4892,PavoI,297.3822,-70.2274,0.0109,Sb,0.2880,2.4580,0.0230,46.9600,16.9590,0.2010,10.7281,0.0130,-22.6306,0.0130,-22.6140,0.0131,-0.0165,-22.6458,0.0135,8.8390,0.1180,10.8023,0.0146,-22.5564,0.0146,-22.5389,0.0147,-0.0174,-22.5746,0.0152
2MASXJ20055217-6125428,IC4936,PavoI,301.4680,-61.4280,0.0076,Sc,0.4260,2.3090,0.0340,32.7800,9.3240,0.2460,11.3344,0.0287,-21.2436,0.0287,-20.8379,0.0497,-0.4057,-20.8379,0.0497,4.5160,0.1490,11.4827,0.0359,-21.0953,0.0359,-20.7438,0.0502,-0.3515,-20.7438,0.0502
2MASXJ20064169-7141007,IC4929,PavoI,301.6731,-71.6833,0.0121,Sc,0.2800,2.4890,0.0220,52.2200,21.7910,0.2450,10.4206,0.0124,-23.1686,0.0124,-23.1628,0.0124,-0.0059,-23.1628,0.0124,13.4500,0.1790,10.3067,0.0146,-23.2825,0.0146,-23.2752,0.0146,-0.0073,-23.2752,0.0146
2MASXJ20071483-6928450,IC4934,PavoI,301.8118,-69.4792,0.0118,Sb,0.3260,2.3580,0.0170,51.1000,7.5980,0.0920,11.6026,0.0133,-21.9395,0.0133,-21.7427,0.0238,-0.1968,-21.6863,0.0244,4.7700,0.0970,11.4753,0.0222,-22.0668,0.0222,-21.8951,0.0280,-0.1717,-21.8066,0.0294
2MASXJ20111682-7100466,NGC6876A,PavoI,302.8202,-71.0127,0.0128,Sc,0.4260,2.4340,0.0160,55.5700,14.8380,0.1790,10.8457,0.0133,-22.8785,0.0133,-22.8426,0.0137,-0.0359,-22.8426,0.0137,7.9800,0.1000,10.8808,0.0138,-22.8434,0.0138,-22.8080,0.0142,-0.0354,-22.8080,0.0142
2MASXJ20232785-7133535,IC4992,PavoI,305.8653,-71.5649,0.0100,Sc,0.1750,2.3750,0.0260,43.0000,11.3170,0.1290,11.1334,0.0125,-22.0339,0.0125,-21.8921,0.0189,-0.1418,-21.8921,0.0189,7.6240,0.1570,10.9225,0.0224,-22.2449,0.0224,-22.1224,0.0256,-0.1224,-22.1224,0.0256
J204649-6501.2,IC5038,PavoI,311.7159,-65.0164,0.0098,Sc,0.4830,2.4750,0.0400,42.2200,28.8560,0.3410,10.1184,0.0130,-23.0092,0.0130,-23.0000,0.0130,-0.0092,-23.0000,0.0130,16.9300,0.1990,10.0573,0.0129,-23.0703,0.0129,-23.0601,0.0130,-0.0103,-23.0601,0.0130
2MASXJ20534539-7101291,IC5054,PavoI,313.4392,-71.0248,0.0141,Sb,0.3270,2.4980,0.0370,61.2400,33.7400,0.4030,9.9956,0.0131,-23.9396,0.0131,-23.9347,0.0131,-0.0049,-24.0017,0.0147,16.8190,0.2360,10.1200,0.0154,-23.8152,0.0154,-23.8092,0.0154,-0.0060,-23.8945,0.0176
J212601-4050.1,IC5105B,MDL 59.00,321.4999,-40.8350,0.0055,Sb,0.4000,2.3640,0.0640,23.6900,32.3120,0.3520,10.0137,0.0120,-21.8591,0.0120,-21.6987,0.0200,-0.1605,-21.6476,0.0207,20.7270,0.3040,9.8601,0.0160,-22.0128,0.0160,-21.8760,0.0211,-0.1367,-21.7950,0.0226
2MASXJ21281505-3751406,na,MDL 59.00,322.0624,-37.8613,0.0068,Sc,0.6190,2.4650,0.0480,29.4400,56.8780,0.6370,9.3652,0.0123,-22.9794,0.0123,-22.9605,0.0125,-0.0190,-22.9605,0.0125,35.3920,0.6450,9.2417,0.0199,-23.1030,0.0199,-23.0793,0.0200,-0.0237,-23.0793,0.0200
2MASXJ21340769-3639216,NGC7091,MDL 59.00,323.5324,-36.6538,0.0078,Sc,0.7770,2.2500,0.0560,33.4900,14.0280,0.2160,10.8900,0.0168,-21.7346,0.0168,-21.0947,0.0662,-0.6398,-21.0947,0.0662,7.8020,0.3550,10.8884,0.0494,-21.7362,0.0494,-21.2148,0.0719,-0.5214,-21.2148,0.0719
